Year,State,Total Population,Poverty,Median Age,Unemployed Civilians,Median Household Income,Per Capita Income,% in Poverty,% in Unemployed
2012,Tennessee,6353226.0,1069017.0,38.0,304598.0,44140.0,24294.0,16.83,4.79
2012,Texas,25208897.0,4270218.0,33.6,960408.0,51563.0,25809.0,16.94,3.81
2012,Utah,2766233.0,329564.0,29.3,96504.0,58164.0,23794.0,11.91,3.49
2012,Vermont,625498.0,69411.0,41.7,22911.0,54168.0,28846.0,11.1,3.66
2012,Virginia,8014955.0,859032.0,37.4,286994.0,63636.0,33326.0,10.72,3.58
2012,Washington,6738714.0,853960.0,37.2,309049.0,59374.0,30661.0,12.67,4.59
2012,West Virginia,1850481.0,316526.0,41.3,65115.0,40400.0,22482.0,17.11,3.52
2012,Wisconsin,5687219.0,690832.0,38.5,230456.0,52627.0,27426.0,12.15,4.05
2012,Wyoming,562803.0,60636.0,36.9,15537.0,56573.0,28858.0,10.77,2.76
2013,Alabama,4799277.0,870631.0,38.1,241930.0,43253.0,23680.0,18.14,5.04
2013,Alaska,720316.0,69514.0,33.6,32939.0,70760.0,32651.0,9.65,4.57
2013,Arizona,6479703.0,1131901.0,36.3,316360.0,49774.0,25358.0,17.47,4.88
2013,Arkansas,2933369.0,547328.0,37.5,121235.0,40768.0,22170.0,18.66,4.13
2013,California,37659181.0,5885417.0,35.4,2168665.0,61094.0,29527.0,15.63,5.76
2013,Colorado,5119329.0,660874.0,36.1,231741.0,58433.0,31109.0,12.91,4.53
2013,Connecticut,3583561.0,354348.0,40.2,190709.0,69461.0,37892.0,9.89,5.32
2013,Delaware,908446.0,103633.0,38.9,41207.0,59878.0,29819.0,11.41,4.54
2013,Florida,19091156.0,3052807.0,41.0,1096028.0,46956.0,26236.0,15.99,5.74
2013,Georgia,9810417.0,1736680.0,35.6,544802.0,49179.0,25182.0,17.7,5.55
2013,Hawaii,1376298.0,149531.0,38.3,48748.0,67402.0,29305.0,10.86,3.54
2013,Idaho,1583364.0,240298.0,34.9,67189.0,46767.0,22568.0,15.18,4.24
2013,Illinois,12848554.0,1772333.0,36.8,700616.0,56797.0,29666.0,13.79,5.45
2013,Indiana,6514861.0,969881.0,37.1,315476.0,48248.0,24635.0,14.89,4.84
2013,Iowa,3062553.0,367414.0,38.1,94913.0,51843.0,27027.0,12.0,3.1
2013,Kansas,2868107.0,382820.0,36.0,104341.0,51332.0,26929.0,13.35,3.64
2013,Kentucky,4361333.0,796202.0,38.2,201987.0,43036.0,23462.0,18.26,4.63
2013,Louisiana,4567968.0,846780.0,36.0,192166.0,44874.0,24442.0,18.54,4.21
2013,Maine,1328320.0,175624.0,43.2,53866.0,48453.0,26824.0,13.22,4.06
2013,Maryland,5834299.0,558329.0,38.0,260567.0,73538.0,36354.0,9.57,4.47
2013,Massachusetts,6605058.0,725351.0,39.2,322730.0,66866.0,35763.0,10.98,4.89
2013,Michigan,9886095.0,1625982.0,39.1,616469.0,48411.0,25681.0,16.45,6.24
2013,Minnesota,5347740.0,598391.0,37.6,210815.0,59836.0,30913.0,11.19,3.94
2013,Mississippi,2976872.0,653321.0,36.2,149148.0,39031.0,20618.0,21.95,5.01
2013,Missouri,6007182.0,900929.0,38.0,267644.0,47380.0,25649.0,15.0,4.46
2013,Montana,998554.0,148528.0,39.9,37702.0,46230.0,25373.0,14.87,3.78
2013,Nebraska,1841625.0,228789.0,36.3,57525.0,51672.0,26899.0,12.42,3.12
2013,Nevada,2730066.0,403314.0,36.6,175142.0,52800.0,26589.0,14.77,6.42
2013,New Hampshire,1319171.0,110859.0,41.5,51670.0,64916.0,33134.0,8.4,3.92
2013,New Jersey,8832406.0,900583.0,39.1,472094.0,71629.0,36027.0,10.2,5.35
2013,New Mexico,2069706.0,413801.0,36.7,94111.0,44927.0,23763.0,19.99,4.55
2013,New York,19487053.0,2903982.0,38.1,921607.0,58003.0,32382.0,14.9,4.73
2013,North Carolina,9651380.0,1643389.0,37.6,527430.0,46334.0,25284.0,17.03,5.46
2013,North Dakota,689781.0,79433.0,36.4,12617.0,53741.0,29732.0,11.52,1.83
2013,Ohio,11549590.0,1773853.0,39.0,582953.0,48308.0,26046.0,15.36,5.05
2013,Oklahoma,3785742.0,618683.0,36.2,127842.0,45339.0,24208.0,16.34,3.38
2013,Oregon,3868721.0,614778.0,38.7,221191.0,50229.0,26809.0,15.89,5.72
2013,Pennsylvania,12731381.0,1638820.0,40.3,581533.0,52548.0,28502.0,12.87,4.57
2013,Rhode Island,1051695.0,137244.0,39.6,56125.0,56361.0,30469.0,13.05,5.34
2013,South Carolina,4679602.0,820308.0,38.1,258444.0,44779.0,23943.0,17.53,5.52
2013,South Dakota,825198.0,112086.0,36.9,22250.0,49495.0,25740.0,13.58,2.7
2013,Tennessee,6402387.0,1101732.0,38.2,316682.0,44298.0,24409.0,17.21,4.95
2013,Texas,25639373.0,4416829.0,33.8,1020132.0,51900.0,26019.0,17.23,3.98
2013,Utah,2813673.0,350205.0,29.6,101449.0,58821.0,23873.0,12.45,3.61
2013,Vermont,625904.0,70873.0,42.0,23546.0,54267.0,29167.0,11.32,3.76
2013,Virginia,8100653.0,887595.0,37.5,303129.0,63907.0,33493.0,10.96,3.74
2013,Washington,6819579.0,893211.0,37.3,327155.0,59478.0,30742.0,13.1,4.8
2013,West Virginia,1853619.0,321546.0,41.5,69351.0,41043.0,22966.0,17.35,3.74
2013,Wisconsin,5706871.0,723730.0,38.7,239464.0,52413.0,27523.0,12.68,4.2
2013,Wyoming,570134.0,63743.0,36.8,16760.0,57406.0,28902.0,11.18,2.94
2014,Alabama,4817678.0,889710.0,38.2,228716.0,43511.0,23936.0,18.47,4.75
2014,Alaska,728300.0,71866.0,33.4,32097.0,71829.0,33129.0,9.87,4.41
2014,Arizona,6561516.0,1169309.0,36.5,304067.0,49928.0,25537.0,17.82,4.63
2014,Arkansas,2947036.0,549303.0,37.6,115090.0,41264.0,22595.0,18.64,3.91
2014,California,38066920.0,6115244.0,35.6,2084564.0,61489.0,29906.0,16.06,5.48
2014,Colorado,5197580.0,663861.0,36.2,219241.0,59448.0,31674.0,12.77,4.22
2014,Connecticut,3592053.0,364740.0,40.3,186587.0,69899.0,38480.0,10.15,5.19
2014,Delaware,917060.0,107101.0,39.1,39819.0,60231.0,30191.0,11.68,4.34
2014,Florida,19361792.0,3159259.0,41.2,1024905.0,47212.0,26499.0,16.32,5.29
2014,Georgia,9907756.0,1781388.0,35.8,519291.0,49342.0,25427.0,17.98,5.24
2014,Hawaii,1392704.0,153752.0,38.2,46285.0,68201.0,29552.0,11.04,3.32
2014,Idaho,1599464.0,244618.0,35.2,61837.0,47334.0,23087.0,15.29,3.87
2014,Illinois,12868747.0,1810470.0,37.0,669561.0,57166.0,30019.0,14.07,5.2
2014,Indiana,6542411.0,983826.0,37.2,290469.0,48737.0,24953.0,15.04,4.44
2014,Iowa,3078116.0,373867.0,38.0,89414.0,52716.0,27621.0,12.15,2.9
2014,Kansas,2882946.0,386062.0,36.0,97951.0,51872.0,27367.0,13.39,3.4
2014,Kentucky,4383272.0,803866.0,38.3,192877.0,43342.0,23741.0,18.34,4.4
2014,Louisiana,4601049.0,874638.0,36.0,189644.0,44991.0,24775.0,19.01,4.12
2014,Maine,1328535.0,179878.0,43.5,51931.0,48804.0,27332.0,13.54,3.91
