case,date,year,month,city,state,fatalities,injured,total_victims,location_catg,type,age_of_shooter,race,latitude,longitude,STATE,YEAR,dealer_regulations,buyer_regulations,gun_posses_prohibitions,background_checks,ammunition_regulations,possession_regulations,concealed_carry_permits,assault_weapons_bans,child_access_prevention,gun_trafficking,domestic_violence,no_preemption,no_stand_your_ground,immunity,total_laws,Year,State,Total Population,Poverty,Median Age,Unemployed Civilians,Median Household Income,Per Capita Income,% in Poverty,% in Unemployed
Cascade Mall shooting,2016-09-23,2016,September,Burlington,Washington,5,0,5,Other,Mass,20.0,Unknown,48.461367,-122.337918,Washington,2016.0,7.0,3.0,4.0,11.0,1.0,4.0,5.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,43.0,2016.0,Washington,7073146.0,883256.0,37.6,244692.0,62848.0,32999.0,12.49,3.46
Baton Rouge police shooting,2016-07-17,2016,July,Baton Rouge,Lousiana,3,3,6,Other,Spree,29.0,Black,30.433601,-91.081403,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas police shooting,2016-07-07,2016,July,Dallas,Texas,5,11,16,Other,Mass,25.0,Black,32.780105199999994,-96.8000082,Texas,2016.0,0.0,1.0,1.0,0.0,0.0,3.0,4.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,18.0,2016.0,Texas,26956435.0,4397307.0,34.2,848131.0,54727.0,27828.0,16.31,3.15
Orlando nightclub massacre,2016-12-06,2016,December,Orlando,Florida,49,53,102,Other,Mass,29.0,Other,28.519718,-81.376777,Florida,2016.0,1.0,1.0,1.0,0.0,1.0,8.0,3.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,21.0,2016.0,Florida,19934451.0,3139258.0,41.6,802016.0,48900.0,27598.0,15.75,4.02
Excel Industries mass shooting,2016-02-25,2016,February,Hesston,Kansas,3,14,17,Workplace,Mass,38.0,Black,38.135992,-97.425145,Kansas,2016.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2016.0,Kansas,2898292.0,373162.0,36.2,79000.0,53571.0,28478.0,12.88,2.73
Kalamazoo shooting spree,2016-02-20,2016,February,Kalamazoo County,Michigan,6,2,8,Other,Mass,45.0,White,42.236689,-85.67479499999997,Michigan,2016.0,6.0,3.0,1.0,3.0,0.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,2016.0,Michigan,9909600.0,1575066.0,39.5,412934.0,50803.0,27549.0,15.89,4.17
San Bernardino mass shooting,2015-02-12,2015,February,San Bernardino,California,14,21,35,Workplace,Mass,28.0,Other,34.075961,-117.27789,California,2015.0,14.0,11.0,7.0,11.0,4.0,5.0,6.0,7.0,9.0,6.0,18.0,2.0,1.0,1.0,102.0,2015.0,California,38421464.0,6135142.0,35.8,1891081.0,61818.0,30318.0,15.97,4.92
Planned Parenthood clinic,2015-11-27,2015,November,Colorado Springs,Colorado,3,9,12,Workplace,Mass,57.0,White,38.881031,-104.849057,Colorado,2015.0,2.0,0.0,1.0,9.0,0.0,2.0,5.0,1.0,0.0,2.0,7.0,0.0,1.0,0.0,30.0,2015.0,Colorado,5278906.0,653969.0,36.3,195578.0,60629.0,32217.0,12.39,3.7
Colorado Springs shooting rampage,2015-10-31,2015,October,Colorado Springs,Colorado,3,0,3,Other,Mass,33.0,White,38.83755,-104.814251,Colorado,2015.0,2.0,0.0,1.0,9.0,0.0,2.0,5.0,1.0,0.0,2.0,7.0,0.0,1.0,0.0,30.0,2015.0,Colorado,5278906.0,653969.0,36.3,195578.0,60629.0,32217.0,12.39,3.7
Umpqua Community College shooting,2015-01-10,2015,January,Roseburg,Oregon,9,9,18,School,Mass,26.0,Other,43.289538,-123.333193,Oregon,2015.0,9.0,2.0,5.0,10.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,33.0,2015.0,Oregon,3939233.0,636947.0,39.1,184016.0,51243.0,27684.0,16.17,4.67
